463;507;1864;518;524;529;474;541
1858;353;1861;517;526;324;475;403
461;204;1921;512;523;195;2027;396
1906;186;1909;385;457;1912;480;534
1915;1918;227;382;245;531;471;540
421;500;494;515;952;461;479;1885
1888;1891;491;384;457;1894;939;1897
418;1927;365;514;1414;427;483;1930
1879;509;493;233;235;1882;478;537
1924;506;491;263;521;1380;480;543
462;503;491;512;458;259;874;535
1867;505;497;381;621;1870;482;541
463;199;488;514;209;229;472;392
465;502;495;385;1873;530;484;1876
467;1933;489;1610;308;229;470;388
424;1936;215;516;361;424;484;1939
1900;1903;1136;518;280;258;476;448
461;508;492;512;456;195;478;534
461;508;492;513;235;229;2027;537
462;348;487;382;525;258;474;539
