986;2116;1008;988;982;983;985;989
2059;969;971;2047;2056;968;2053;972
1996;996;999;993;995;1999;2002;2005
2092;1062;2086;1055;2338;2336;1055;1057
1042;2122;863;1045;2125;2341;1043;2329
1049;1052;771;1048;1051;2077;2083;2080
2008;1035;1032;1028;2011;1034;2015;1030
2092;1061;2074;1058;2098;2089;2095;1058
1041;969;1039;1852;2379;2347;1043;1038
2050;963;871;957;964;964;2128;2062
2059;969;973;2047;2056;966;960;2062
976;2116;1013;990;980;979;977;2024
1027;2018;1011;1028;2012;2021;1026;1030
1004;1002;1000;2065;2071;2335;1001;2068
1021;1015;1019;1021;1016;2119;1023;1849
