Dément;De terribles visions qu'aucun mortel ne pourrait supporter vous ont fait perdre la raison.;À chaque fois que vous avez une rencontre, désignez un autre joueur pour choisir votre réaction sur le tableau des réaction.;Vous perdez ce status si vous gagnez une compétence dans une rencontre.
Emprisonné;Vous êtes détenu contre votre gré pour des raisons qui ne regardent que vous.;Vous ne pouvez pas vous déplacer. Vous perdez le statut Perdu si vous l'avez. Lorsqu'Emprisonné, vous rencontrez toujours un Geôlier (qui vous apporte votre ration et de l'eau) en utilisant le tableau de réactions K. Pour déterminer la nature du Geôlier lors de votre rencontre, lancez un dé: 1- Sympathique, 2- Insensé, 3- Hideux, 4- Rusé, 5- Fou, 6- Malfaisant;Les paragraphes liés à cette rencontre peuvent vous faire perdre ce statut. Quand vos Points Histoire atteignent 10 ou plus, vous perdez ce statut. Si vous obtenez ce status alors que vos Points Histoire sont déjà à 10 ou plus, vous devez obtenir 1 Points Histoire supplémentaire.\n\n Autrement, si vous donnez  un niveau de Fortune à un joueur sur la même case que vous et qu'il a Charme ou Dérober et Se dérober, vous perdez ce status.
Malade:Vous avez contracté une terrible maladie. Elle n'est pas fatale, mais c'est douloureux et incapacitant.;Vos déplacements sont réduits de 1, sur terre comme en mer.\n Si vous payez 3 Points Destinée lorsque vous êtes au même endroit qu'un autre joueur, vous pouvez lui donner ce statut, mais vous gardez le votre.;Donnez un niveau de Fortune à un joueur sur la même case que vous et qui à Érudition.
Blessé;Vous avez été blessé au cours d'un combat ou dans un accident.;Perdez un niveau pour les compétences suivantes jusqu'à ce que vous ne soyez plus Blessé: Dérober et Se dérober, Magie, Usage d'arme, Séduction, Apparence.;Choisissez de passer votre tour en entier pour vous guérir en perdant 1 Point Destiné ou 1 Point Histoire.\n\n Autrement, vous pouvez donner un niveau de Fortune à un joueur sur la même case que vous et qui possède la compétence Érudition pour perdre ce statut.
Ensorcelé;On vous a jeté un sort. Malgré votre volonté, vous avancez selon le caprice d'un autre.;À chaque tour, un autre joueur de votre choix décide où se déplace votre personnage.;À la fin de votre tour, vous et le joueur qui vous a déplacé devez chacun lancer un dé.\n\n Si votre résultat est supérieur, vous perdez le status.\n\n Si votre résultat est inférieur ou égal à celui de l'autre joueur, vous demeurez Ensorcelé.
Béni;Vous jouissez de la protection et de la bénédiction d'un bienfaiteur ainsi que la bénédiction du Tout-Puissant Créateur.;Choisissez vous même, si vous le désirez, le résultat de votre lancer de dé(s).(Vous pouvez aussi consulter le Livre des contes auparavant.)\n Utilisez ce résultat plutôt que de lancer les dés.(L'effet ne s'applique pas au lancer du dé du Destin.);Après avoir annoncé le résultat que vous allez utiliser, vous devez lancer un dé (ou deux, selon les cas). Si le résultat de votre lancer de dé est inférieur ou supérieur de plus d'un point d'écart à votre annonce, vous perdez ce statut.\n Si vous obtenez le statut Maudit, vous perdez Béni.
Maudit;Vous êtes tombé sous une terrible malédiction et la malchance vous suit avec force jusqu'à la fin de vos jours... à moins que le châtiment ne soit retiré.;À chaque fois que vous lancez le ou les dés pour n'importe quelle raison, demandez à un autre joueur quel résultat il veut que vous ayez à la place. (Il peut, s'il le souhaite, examiner le Livre des contes avant de vous donner son résultat.) Utilisez ce résultat à la place d'un lancer de dé (Maudit n'a pas d'effet sur le lancer de dé du Destin).;Après que le joueur ait décidé du résultat, lancez un dé (ou deux selon les cas) pour déterminer si vous perdez ce statut. Si le résultat de votre lancer de dé est inférieur ou supérieur de plus d'un point d'écart de celui donné par le joueur, vous n'êtes plus Maudit. Si vous obtenez le status Béni, vous perdez Maudit.
Aimé;Une belle femme/un homme élégant est tombé follement amoureux de vous et refuse de dormir ou de manger jusqu'à ce que vous répondiez à son amour. Où que vous alliez, il vous suit en écrivant des poèmes et en vous déclamant son grand amour.;Décidez si vous acceptez ou refusez son amour.\n Si vous acceptez: vous recevez 2 Points Destinée et recevez le statut Marié.\n Si vous refusez: lancez un dé et recevez l'un des statuts suivants: \n 1-2 = Méprisé\n 3-4 = Poursuivi\n 5-6 = Determiné;
Envouté;On vient de vous confier une quête irrésistible que vous devez accomplir. Cette quête est en partie un serment et en partie une malédiction.;Vous ne pouvez pas gagner la partie lorsque vous êtes Envouté.\n Vous devez obtenir 3 Points Destinée pour compléter cette quête qui vous obsède.;Vous perdez ce status lorsque vous complétez la quête, ou vous pouvez briser l'envoutement à tout moment en perdant 4 Points Destinée.
Respecté;Vous avez gagné le respect des puissant et acquis une excellente réputation.;Dans n'importe quelle rencontre lors de laquelle le ou les dés sont utilisés, vous pouvez lancer une seconde fois si le premier paragraphe de dénouement ne vous plait pas (et ce, après qu'il vous ait été lu).\n Le second lancer est définitif.;Il n'y a aucun moyen particulier de perdre ce statut.
Perdu;Vous êtes quelque part dans les grandes étendues du monde, mais où exactement? Vous n'en avez aucune idée. Vous êtes perdu.;Votre déplacement est réduit à 1. Chaque tour, vous suivez la procédure normale de rencontre pour le lieu dans lequel vous vous trouvez.;Vous pouvez choisir de ne pas suivre la procédure normale de rencontre, mais vous référer directement à la rencontre Complètement Perdu du tableau des réactions G. Les paragraphes reliés à cette rencontre peuvent vous faire perdre le statut Perdu.\n Autrement, il peut arriver que d'autres rencontres vous fassent perdre ce statut.
Changement de Sexe;Victime d'une grande magie supérieure vous êtes maintenant un membre du sexe opposé.;Retournez votre jeton Personnage pour indiquer votre nouveau sexe. Vous ne pouvez pas gagner la partie si vous avez ce statut.\n (N'oubliez pas de prendre en compte votre nouveau sexe lors des rencontres.);Si vous recevez ce statut alors que vous le posssédez déjà, vous retournez à votre sexe d'origine et perdez ce statut.
Hors-la-Loi;À cause d'un crime atroce que vous avez commis, vous devenez hors-la-loi et êtes banni du royaume.;Marquez la ville la plus proche de la case où vous êtes avec votre jeton Origine (choisissez la cité si plusieurs répondent à cette condition).\n Si vous avez une rencontre dans cette cité, vous recevez automatiquement le statut Emprisonné à la fin de la rencontre.\n Si vous obtenez Hors-la-loi en ayant déjà ce statut, à la fin de votre rencontre, déplacez-vous directement dans la cité où est votre jeton Origine et devenez Emprisonné.;Si vous devenez Emprisonné, vous perdez le statut Hors-la-loi. N'oubliez pas de retirer votre jeton Origine.
